house,group,origin,token,gazette_total_hits,candidates,strong_candidates,notice_types,best_date,best_edition,best_issue,best_page,best_url,priority
E. Sieveking & Son,Émigré: German & Central European,German (Hamburg),Sieveking,97,97,9,"dissolution, other",1848-06-02,London,20863,2130,https://www.thegazette.co.uk/London/issue/20863/page/2130,True
"Schunck, Souchay & Co",Émigré: German & Central European,German,Schunck,42,42,18,"dissolution, other, winding_up",1882-02-17,London,25073,670,https://www.thegazette.co.uk/London/issue/25073/page/670,True
Bieber & Co,Émigré: German & Central European,German,Bieber,97,97,27,"bankruptcy, company, dissolution, other, winding_up",1858-09-14,London,22182,4146,https://www.thegazette.co.uk/London/issue/22182/page/4146,True
Lütgens & Ripley,Émigré: German & Central European,German (Hamburg),Lutgens,43,41,0,,1860-09-11,London,22421,3338,https://www.thegazette.co.uk/London/issue/22421/page/3338,True
Haarbleicher & Schumann,Émigré: German & Central European,German (Hamburg),Haarbleicher,23,23,8,other,1867-02-27,London,23224,1307,https://www.thegazette.co.uk/London/issue/23224/page/1307,True
König Brothers,Émigré: German & Central European,German,Konig,133,120,29,"dissolution, enemy_property, other, winding_up",1894-01-12,London,26475,257,https://www.thegazette.co.uk/London/issue/26475/page/257,True
Suse & Sibeth,Émigré: German & Central European,German (Hamburg),Suse,57,57,22,"dissolution, other",1873-07-04,London,23995,3217,https://www.thegazette.co.uk/London/issue/23995/page/3217,True
"R. Heine, Semon & Co",Émigré: German & Central European,German-Jewish,Heine,215,120,29,"bankruptcy, dissolution, enemy_property, other, winding_up",1855-08-21,London,21766,3189,https://www.thegazette.co.uk/London/issue/21766/page/3189,True
Kraeutler & Mieville,Émigré: German & Central European,German / Swiss,Kraeutler,7,7,5,"dissolution, other",1873-01-07,London,23935,57,https://www.thegazette.co.uk/London/issue/23935/page/57,True
J. L. Lemme & Co,Émigré: German & Central European,German,Lemme,14,14,0,,1860-10-09,London,22432,3635,https://www.thegazette.co.uk/London/issue/22432/page/3635,True
M. Levin & Adler,Émigré: German & Central European,German-Jewish,Levin,701,120,35,"dissolution, enemy_property, naturalisation, other, winding_up",1847-08-20,London,20766,3047,https://www.thegazette.co.uk/London/issue/20766/page/3047,True
B. Simon & A. Jacoby,Émigré: German & Central European,German-Jewish,Simon,14061,120,39,"bankruptcy, dissolution, enemy_property, other, winding_up",1847-07-02,London,20750,2452,https://www.thegazette.co.uk/London/issue/20750/page/2452,True
H. J. Enthoven & Sons,Émigré: German & Central European,Dutch,Enthoven,261,120,30,"company, dissolution, other, winding_up",1847-12-03,London,20802,4495,https://www.thegazette.co.uk/London/issue/20802/page/4495,True
B. W. Blydenstein & Co,Émigré: German & Central European,Dutch (Twente),Blydenstein,53,53,41,"dissolution, other",1875-01-01,London,24167,12,https://www.thegazette.co.uk/London/issue/24167/page/12,True
J. C. Im Thurn & Co,Émigré: German & Central European,Swiss (Schaffhausen),Thurn,243,120,34,"dissolution, other, winding_up",1898-11-25,London,27026,7627,https://www.thegazette.co.uk/London/issue/27026/page/7627,True
"Bordier, Fabris & Co",Émigré: German & Central European,Swiss (Geneva),Bordier,13,13,6,"dissolution, other",1908-10-09,London,28184,7335,https://www.thegazette.co.uk/London/issue/28184/page/7335,True
"Heilbut, Symons & Co",Émigré: German & Central European,German,Heilbut,42,42,25,"dissolution, other, winding_up",1888-01-06,London,25774,258,https://www.thegazette.co.uk/London/issue/25774/page/258,True
Ralli Brothers,Émigré: Greek & Levantine,Greek (Chios),Ralli,3321,91,14,"dissolution, other",1864-08-02,London,22881,3845,https://www.thegazette.co.uk/London/issue/22881/page/3845,True
Schilizzi & Co,Émigré: Greek & Levantine,Greek (Chios),Schilizzi,55,55,20,"dissolution, other, winding_up",1849-04-24,London,20971,1361,https://www.thegazette.co.uk/London/issue/20971/page/1361,True
Zarifi Brothers & Co,Émigré: Greek & Levantine,Greek (Constantinople),Zarifi,15,15,4,"other, winding_up",1862-09-26,London,22666,4650,https://www.thegazette.co.uk/London/issue/22666/page/4650,True
Spartali & Co,Émigré: Greek & Levantine,Greek,Spartali,86,86,23,"dissolution, other",1863-12-22,London,22799,6660,https://www.thegazette.co.uk/London/issue/22799/page/6660,True
Leonino & Co,Émigré: Greek & Levantine,Italian-Jewish,Leonino,12,12,4,"dissolution, other",1855-06-12,London,21727,2271,https://www.thegazette.co.uk/London/issue/21727/page/2271,True
Cama & Co,Émigré: Indian / Parsi,Parsi (Bombay),Cama,107,106,22,"bankruptcy, dissolution, honour, other",1870-04-26,London,23610,2327,https://www.thegazette.co.uk/London/issue/23610/page/2327,True
Framjee & Co,Émigré: Indian / Parsi,Parsi (Bombay),Framjee,292,120,24,"bankruptcy, dissolution, other, winding_up",1866-09-21,London,23165,5164,https://www.thegazette.co.uk/London/issue/23165/page/5164,True
Dadabhai Naoroji & Co,Émigré: Indian / Parsi,Parsi (Bombay),Naoroji,54,54,12,"company, dissolution, other",1867-01-04,London,23205,104,https://www.thegazette.co.uk/London/issue/23205/page/104,True
George Peabody & Co,Émigré: American,American (Massachusetts),Peabody,321,120,30,"dissolution, other, winding_up",1869-07-20,London,23518,4090,https://www.thegazette.co.uk/London/issue/23518/page/4090,True
J. S. Morgan & Co,Émigré: American,American,Morgan Grenfell,148,22,12,"dissolution, other",1919-01-14,London,31123,715,https://www.thegazette.co.uk/London/issue/31123/page/715,True
"Brown, Shipley & Co",Émigré: American,Anglo-American (Baltimore/Liverpool),Shipley,6819,120,19,"dissolution, other, winding_up",1851-08-22,London,21238,2167,https://www.thegazette.co.uk/London/issue/21238/page/2167,True
McCalmont Brothers & Co,Émigré: American,Anglo-American / Irish,McCalmont,315,120,3,"other, winding_up",1883-01-23,London,25191,418,https://www.thegazette.co.uk/London/issue/25191/page/418,True
Guaranty Trust Co of New York,Émigré: American,American,Guaranty,445,120,104,"company, other, winding_up",1913-02-26,London,28694,1544,https://www.thegazette.co.uk/London/issue/28694/supplement/1544,True
International Banking Corporation,Émigré: American,American,International,6628,120,15,"company, other",1872-09-24,London,23900,4139,https://www.thegazette.co.uk/London/issue/23900/page/4139,True
Baring Brothers & Co,British: private / merchant (native),"German-origin, naturalised Anglo establishment",Baring,4434,65,15,"bankruptcy, dissolution, other",1847-12-31,London,20811,4805,https://www.thegazette.co.uk/London/issue/20811/page/4805,False
"Glyn, Mills, Currie & Co",British: private / merchant (native),British,Glyn,4452,120,14,"dissolution, other, winding_up",1926-07-06,London,33180,4493,https://www.thegazette.co.uk/London/issue/33180/page/4493,False
"Robarts, Lubbock & Co",British: private / merchant (native),British,Robarts,659,113,36,"dissolution, other, winding_up",1855-03-13,London,21676,1068,https://www.thegazette.co.uk/London/issue/21676/page/1068,False
"Overend, Gurney & Co",British: discount house,"British (Quaker, Norwich)",Overend Gurney,26,19,18,"dissolution, other, winding_up",1866-05-11,London,23115,2914,https://www.thegazette.co.uk/London/issue/23115/page/2914,False
Union Discount Co. of London,British: discount house,British,Union,72943,120,1,dissolution,1925-02-13,London,33020,1077,https://www.thegazette.co.uk/London/issue/33020/page/1077,False
National Discount Co.,British: discount house,British,National,48001,120,3,other,1911-11-24,Edinburgh,12410,1203,https://www.thegazette.co.uk/Edinburgh/issue/12410/page/1203,False
Alexanders & Co (discount),British: discount house,British (Quaker),Alexanders,2163,120,29,"company, dissolution, other, winding_up",1894-07-13,Edinburgh,10587,815,https://www.thegazette.co.uk/Edinburgh/issue/10587/page/815,False
"Smith, St Aubyn & Co",British: discount house,British,Smith,188683,120,10,"dissolution, other, winding_up",1923-01-23,Edinburgh,13886,148,https://www.thegazette.co.uk/Edinburgh/issue/13886/page/148,False
"Sanderson, Sandeman & Co",British: discount house,British,Sanderson,7738,120,51,"bankruptcy, dissolution, enemy_property, other, winding_up",1841-09-10,London,20017,2282,https://www.thegazette.co.uk/London/issue/20017/page/2282,False
Gillett Brothers,British: discount house,British (Quaker),Gillett,6782,120,34,"dissolution, other",1866-09-07,London,23160,4940,https://www.thegazette.co.uk/London/issue/23160/page/4940,False
London County & Westminster Bank,British: clearing / joint-stock bank,British,County,585585,118,11,"dissolution, other, winding_up",1845-02-19,London,20445,544,https://www.thegazette.co.uk/London/issue/20445/page/544,False
Lloyds Bank,British: clearing / joint-stock bank,British,Lloyds,48345,12,9,other,1926-01-19,London,33125,501,https://www.thegazette.co.uk/London/issue/33125/page/501,False
National Provincial Bank,British: clearing / joint-stock bank,British,National,48001,120,3,other,1911-11-24,Edinburgh,12410,1203,https://www.thegazette.co.uk/Edinburgh/issue/12410/page/1203,False
Parr's Bank,British: clearing / joint-stock bank,British,Parr's,510,114,58,"bankruptcy, company, dissolution, other, winding_up",1918-05-03,London,30668,5392,https://www.thegazette.co.uk/London/issue/30668/page/5392,False
Union of London & Smiths Bank,British: clearing / joint-stock bank,British,Union,72943,120,1,dissolution,1925-02-13,London,33020,1077,https://www.thegazette.co.uk/London/issue/33020/page/1077,False
Oriental Bank Corporation,Colonial / Imperial bank,British colonial (East),Oriental,3121,120,61,"dissolution, other, winding_up",1871-06-06,London,23744,2659,https://www.thegazette.co.uk/London/issue/23744/page/2659,False
Agra & Masterman's Bank,Colonial / Imperial bank,British colonial (India),Masterman,1130,120,47,"bankruptcy, dissolution, other, winding_up",1866-06-08,London,23124,3377,https://www.thegazette.co.uk/London/issue/23124/page/3377,False
Bank of Hindustan,Colonial / Imperial bank,British colonial (India),Hindustan,304,120,12,"honour, other, winding_up",1866-11-30,London,23192,6711,https://www.thegazette.co.uk/London/issue/23192/page/6711,False
"Chartered Bank of India, Australia & China",Colonial / Imperial bank,British colonial,Chartered,86802,75,41,"bankruptcy, other, winding_up",1933-05-19,London,33941,3395,https://www.thegazette.co.uk/London/issue/33941/supplement/3395,False
Hongkong & Shanghai Banking Corp.,Colonial / Imperial bank,British colonial (China),Hongkong,466,120,31,"dissolution, other, winding_up",1906-07-20,London,27933,4991,https://www.thegazette.co.uk/London/issue/27933/page/4991,False
National Bank of India,Colonial / Imperial bank,British colonial (India),National,48001,120,3,other,1911-11-24,Edinburgh,12410,1203,https://www.thegazette.co.uk/Edinburgh/issue/12410/page/1203,False
Mercantile Bank of India,Colonial / Imperial bank,British colonial (India),Mercantile,6636,120,33,other,1848-10-31,London,20910,3899,https://www.thegazette.co.uk/London/issue/20910/page/3899,False
Bank of New South Wales,Colonial / Imperial bank,British colonial (Australia),New,239170,120,3,other,1913-02-26,London,28694,1544,https://www.thegazette.co.uk/London/issue/28694/supplement/1544,False
Deutsche Bank (London),Foreign bank (1914 wartime),German,Deutsche Bank,79,48,32,"company, enemy_property, other, winding_up",1916-04-11,Edinburgh,12926,708,https://www.thegazette.co.uk/Edinburgh/issue/12926/page/708,True
Dresdner Bank (London),Foreign bank (1914 wartime),German,Dresdner,35,35,26,"company, enemy_property, other, winding_up",1896-02-15,London,26710,941,https://www.thegazette.co.uk/London/issue/26710/page/941,True
Disconto-Gesellschaft (London),Foreign bank (1914 wartime),German,Disconto,34,34,28,"bankruptcy, company, enemy_property, other, winding_up",1925-07-03,London,33063,4478,https://www.thegazette.co.uk/London/issue/33063/page/4478,True
London Hanseatic Bank,Foreign bank (1914 wartime),German,Hanseatic,283,120,15,other,1852-10-22,London,21371,2753,https://www.thegazette.co.uk/London/issue/21371/page/2753,True
Crédit Lyonnais,Foreign bank (1914 wartime),French,Credit,17483,120,2,"bankruptcy, other",1864-09-09,London,22892,4386,https://www.thegazette.co.uk/London/issue/22892/page/4386,True
Comptoir National d'Escompte de Paris,Foreign bank (1914 wartime),French,Comptoir,226,120,89,"company, dissolution, other, winding_up",1897-11-02,London,26906,6018,https://www.thegazette.co.uk/London/issue/26906/page/6018,True
Banque Belge,Foreign bank (1914 wartime),Belgian,Banque,354,120,101,"company, other, winding_up",1908-09-29,London,28181,7054,https://www.thegazette.co.uk/London/issue/28181/page/7054,True
Swiss Bankverein,Foreign bank (1914 wartime),Swiss,Swiss,2146,120,120,other,1853-02-15,London,21411,407,https://www.thegazette.co.uk/London/issue/21411/page/407,True
Credito Italiano,Foreign bank (1914 wartime),Italian,Credito,386,120,50,"dissolution, enemy_property, other, winding_up",1866-05-29,Edinburgh,7645,665,https://www.thegazette.co.uk/Edinburgh/issue/7645/page/665,True
Banca Commerciale Italiana,Foreign bank (1914 wartime),Italian,Banca,79,79,60,"bankruptcy, company, enemy_property, other, winding_up",1929-07-26,London,33520,4938,https://www.thegazette.co.uk/London/issue/33520/page/4938,True
Imperial Ottoman Bank,Foreign bank (1914 wartime),Anglo-French / Ottoman,Imperial,38920,120,2,other,1882-06-30,London,25123,3037,https://www.thegazette.co.uk/London/issue/25123/page/3037,True
Samuel Montagu & Co,Émigré: German & Central European,Anglo-Jewish (German-Jewish descent),Montagu,7620,120,37,"dissolution, other, winding_up",1894-01-02,London,26472,32,https://www.thegazette.co.uk/London/issue/26472/page/32,True
R. Raphael & Sons,Émigré: Greek & Levantine,Sephardi-Jewish (Dutch/Portuguese),Raphael,2328,120,45,"bankruptcy, company, dissolution, other, winding_up",1862-03-25,London,22611,1633,https://www.thegazette.co.uk/London/issue/22611/page/1633,True
King & Foa,Émigré: Greek & Levantine,Sephardi-Jewish / Anglo (Foa family),King,242975,120,4,"dissolution, enemy_property, honour",1841-04-09,London,19968,966,https://www.thegazette.co.uk/London/issue/19968/page/966,True
A. Ruffer & Sons,Émigré: German & Central European,French/German (Alsace),Ruffer,84,84,19,"other, winding_up",1941-02-04,London,35065,712,https://www.thegazette.co.uk/London/issue/35065/page/712,True
"Allen, Harvey & Ross",British: discount house,British,Allen,38961,120,47,"dissolution, other, winding_up",1865-03-31,London,22953,1816,https://www.thegazette.co.uk/London/issue/22953/page/1816,False
"Bruce, Wilkinson & Co",British: discount house,British,Bruce,20058,120,24,"dissolution, enemy_property, other, winding_up",1898-02-18,London,26940,1068,https://www.thegazette.co.uk/London/issue/26940/page/1068,False
"Frith, Sands & Co",British: discount house,British,Frith,5079,120,25,"bankruptcy, company, dissolution, naturalisation, other, winding_up",1885-06-23,London,25483,2885,https://www.thegazette.co.uk/London/issue/25483/page/2885,False
White & Shaxson,British: discount house,British,White,92563,120,0,,1840-09-25,London,19898,2139,https://www.thegazette.co.uk/London/issue/19898/page/2139,False
Cater & Co,British: discount house,British,Cater,2241,120,34,"company, dissolution, other, winding_up",1858-07-02,London,22158,3153,https://www.thegazette.co.uk/London/issue/22158/page/3153,False
Ryder & Co,British: discount house,British,Ryder,4138,120,46,"dissolution, other, winding_up",1844-05-14,London,20343,1649,https://www.thegazette.co.uk/London/issue/20343/page/1649,False
Cunliffe Brothers,British: private / merchant (native),British,Cunliffe,3536,120,63,"bankruptcy, dissolution, other, winding_up",1855-04-13,London,21693,1476,https://www.thegazette.co.uk/London/issue/21693/page/1476,False
"Smith, Fleming & Co",British: private / merchant (native),British (Anglo-Indian),Smith,188683,120,10,"dissolution, other, winding_up",1923-01-23,Edinburgh,13886,148,https://www.thegazette.co.uk/Edinburgh/issue/13886/page/148,False
Wallace Brothers & Co,British: private / merchant (native),British (Anglo-Burmese),Wallace,23894,120,56,"company, dissolution, enemy_property, other, winding_up",1877-07-17,London,24483,4235,https://www.thegazette.co.uk/London/issue/24483/page/4235,False
"Daniell, Cazenove & Co",British: private / merchant (native),"British (Huguenot-descended, Anglo)",Daniell,60771,16,1,other,1887-02-25,London,25677,1043,https://www.thegazette.co.uk/London/issue/25677/page/1043,False
Brightwen & Co,British: private / merchant (native),British,Brightwen,52,52,11,"dissolution, other",1884-03-21,London,25330,1367,https://www.thegazette.co.uk/London/issue/25330/page/1367,False
"Reeves, Whitburn & Co",British: private / merchant (native),British,Reeves,9890,74,24,"dissolution, other, winding_up",1855-10-30,London,21806,4008,https://www.thegazette.co.uk/London/issue/21806/page/4008,False
"Baker, Duncombe & Co",British: private / merchant (native),British,Baker,105984,120,22,"dissolution, naturalisation, other, winding_up",1892-11-08,London,26343,6258,https://www.thegazette.co.uk/London/issue/26343/page/6258,False
Barclay & Co,British: clearing / joint-stock bank,British (Quaker),Barclay,18514,120,86,"dissolution, enemy_property, other, winding_up",1867-03-22,Edinburgh,7730,346,https://www.thegazette.co.uk/Edinburgh/issue/7730/page/346,False
Royal Bank of Scotland,British: clearing / joint-stock bank,British (Scottish),Royal,178311,120,2,"honour, other",1935-07-24,London,34183,4838,https://www.thegazette.co.uk/London/issue/34183/supplement/4838,False
Union Bank of Scotland,British: clearing / joint-stock bank,British (Scottish),Union,72943,120,1,dissolution,1925-02-13,London,33020,1077,https://www.thegazette.co.uk/London/issue/33020/page/1077,False
National Bank of Scotland,British: clearing / joint-stock bank,British (Scottish),National,48001,120,3,other,1911-11-24,Edinburgh,12410,1203,https://www.thegazette.co.uk/Edinburgh/issue/12410/page/1203,False
Capital & Counties Bank,British: clearing / joint-stock bank,British,Capital,49199,120,0,,1867-02-22,London,23222,963,https://www.thegazette.co.uk/London/issue/23222/page/963,False
Alliance Bank,British: clearing / joint-stock bank,British,Alliance,2745,120,64,"company, dissolution, other, winding_up",1876-07-21,London,24347,4132,https://www.thegazette.co.uk/London/issue/24347/page/4132,False
London Joint Stock Bank,British: clearing / joint-stock bank,British,Joint,48696,120,11,"dissolution, honour, other, winding_up",1849-11-06,London,21035,3322,https://www.thegazette.co.uk/London/issue/21035/page/3322,False
London & South Western Bank,British: clearing / joint-stock bank,British,South,211732,120,2,other,1886-09-21,London,25627,4618,https://www.thegazette.co.uk/London/issue/25627/page/4618,False
Manchester & Liverpool District Bank,British: clearing / joint-stock bank,British,Manchester,205557,120,33,"bankruptcy, dissolution, other, winding_up",1870-01-07,London,23575,204,https://www.thegazette.co.uk/London/issue/23575/page/204,False
London & River Plate Bank,Colonial / Imperial bank,British colonial (S. America),River,48982,120,0,,1841-11-20,London,20042,2960,https://www.thegazette.co.uk/London/issue/20042/page/2960,False
Anglo South American Bank,Colonial / Imperial bank,British colonial (S. America),Anglo,6429,120,82,"company, other",1870-02-11,Edinburgh,8032,178,https://www.thegazette.co.uk/Edinburgh/issue/8032/page/178,False
London & Brazilian Bank,Colonial / Imperial bank,British colonial (Brazil),Brazilian,4538,120,3,"naturalisation, other",1863-04-03,Edinburgh,7315,455,https://www.thegazette.co.uk/Edinburgh/issue/7315/page/455,False
British Bank of South America,Colonial / Imperial bank,British colonial (S. America),British,94642,40,40,other,1843-10-17,London,20270,3365,https://www.thegazette.co.uk/London/issue/20270/page/3365,False
Standard Bank of South Africa,Colonial / Imperial bank,British colonial (Africa),Standard,17966,120,0,,1854-12-22,London,21643,4179,https://www.thegazette.co.uk/London/issue/21643/page/4179,False
Bank of Africa,Colonial / Imperial bank,British colonial (Africa),Africa,16419,120,41,other,1866-07-31,Edinburgh,7663,914,https://www.thegazette.co.uk/Edinburgh/issue/7663/page/914,False
Eastern Bank,Colonial / Imperial bank,British colonial (East),Eastern,40781,120,13,other,1871-03-31,London,23722,1686,https://www.thegazette.co.uk/London/issue/23722/page/1686,False
Canadian Bank of Commerce,Colonial / Imperial bank,British colonial (Canada),Canadian,16832,120,18,"honour, other",1944-12-29,London,36867,111,https://www.thegazette.co.uk/London/issue/36867/supplement/111,False
Bank of Montreal,Colonial / Imperial bank,British colonial (Canada),Montreal,2433,120,53,other,1877-02-28,London,24426,1762,https://www.thegazette.co.uk/London/issue/24426/page/1762,False
Union Bank of Australia,Colonial / Imperial bank,British colonial (Australia),Union,72943,120,1,dissolution,1925-02-13,London,33020,1077,https://www.thegazette.co.uk/London/issue/33020/page/1077,False
Yokohama Specie Bank,Foreign bank (1914 wartime),Japanese,Yokohama,445,120,59,"company, dissolution, honour, other, winding_up",1876-01-14,London,24284,173,https://www.thegazette.co.uk/London/issue/24284/page/173,True
